Ride Volume,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Rides,,Weekend,Total for Week,Running Total,,,,,,,,,,,,
"Thursday, June 16",190,,,,190,,,Day 1,190,,,,Weekly,Weekend,Weekday,Weekend,Growth
"Friday, June 17",345,,,,535,,,Day 2,535,,,June 16-19th,1148,958,190,83%,
"Saturday, June 18",411,,,,946,,,Day 3,946,,,June 20-26th,1744,1156,588,66%,52%
"Sunday, June 19",202,,958,1148,1148,,,Day 4,1148,,,June 27-July 3rd,2433,1903,530,78%,40%
"Monday, June 20",100,,,,1248,,,Day 5,1248,,,July 4-10th,2526,1482,1044,59%,4%
"Tuesday, June 21",124,,,,1372,,,Day 6,1372,,,July 11-17th,2729,1733,996,64%,8%
"Wednesday, June 22",220,,,,1592,,,Day 7,1592,,,July 18-24th,3570,2500,1070,70%,31%
"Thursday, June 23",144,-24%,,,1736,,,Day 8,1736,,,July 25th-31st,3763,2429,1334,65%,5%
"Friday, June 24",397,15%,,,2133,,,Day 9,2133,,,Aug 1-7th,5074,3616,1458,71%,35%
"Saturday, June 25",503,22%,21%,52%,2636,,,Day 10,2636,,,Aug 8-14th,7630,5240,2390,69%,50%
"Sunday, June 26",256,27%,1156,1744,2892,,,Day 11,2892,,,Aug 15-21st,8655,5780,2875,67%,13%
"Monday, June 27",97,-3%,,,2989,,,Day 12,2989,,,Aug 22nd-28th,13060,8938,4122,68%,51%
"Tuesday, June 28",108,-13%,,,3097,,,Day 13,3097,,,,,,,,29%
"Wednesday, June 29",122,-45%,,,3219,,,Day 14,3219,,,,,,,,
"Thursday, June 30",203,41%,,,3422,,,Day 15,3422,,,,,,,,
"Friday, July 1",514,29%,,,3936,,,Day 16,3936,,,,% of rides,,,,
"Saturday, July 2",767,52%,65%,40%,4703,,,Day 17,4703,,,Monday,6%,3198,,,
"Sunday, July 3",622,143%,1903,2433,5325,297,,Day 18,5325,,,Tues,7%,3400,,,
"Monday, July 4",402,314%,,,5727,,,Day 19,5727,,,Wed,8%,4093,,,
"Tuesday, July 5",199,84%,,,5926,,,Day 20,5926,,,Thurs,11%,5716,,,
"Wednesday, July 6",195,60%,,,6121,,,Day 21,6121,,,Fri,22%,11045,,,
"Thursday, July 7",248,22%,,,6369,,,Day 22,6369,,,Sat,29%,15093,,,
"Friday, July 8",450,-12%,,,6819,,,Day 23,6819,,,Sun,17%,8639,,,
