HOURLYVISIBILITY,HOURLYDRYBULBTEMPC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYPrecip,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYSunrise,DAILYSunset,DAILYPrecip,DAILYAverageWindSpeed,DAILYPeakWindSpeed,started_on,created_date,updated_date,completed_on,distance_travelled,end_location_lat,end_location_long,driver_rating,rider_rating,active_driver_id,charity_id,requested_car_category,free_credit_used,surge_factor,start_location_long,start_location_lat,rider_id,round_up_amount,promocode_redemption_id,driver_reached_on,base_fare,total_fare,rate_per_mile,rate_per_minute,time_fare,driver_accepted_on,esimtated_time_arrive,tipped_on,tip,driving_time_to_rider,dispatch_location_lat,dispatch_location_long,driving_distance_to_rider,dispatched_on,status,driver_id,car_id,color,make,model,year,car_categories_bitmask,rating
8.75,20.7,94.0,6.0,13.3333333333,0.0,,,,,529.0,1930.0,1.63,,,2016-06-04 00:18:49-05:00,2016-06-04 00:10:19-05:00,2016-06-04 00:27:48-05:00,2016-06-04 00:27:32-05:00,8459.0,38.676,-121.039,5.0,5.0,0,,b'REGULAR',,0.0,-121.071,38.655,0,,,2016-06-04 00:14:11-05:00,1.5,25.84,1.5,0.25,2.18,,,,,,-121.039,-121.039,,2016-06-04 05:10:19,b'DISPATCHED',0,0,b'Gray',b'Bentley',b'Continental GT',b'2013',1,5.0
6.0,21.1,93.0,1.5,0.0,0.0,,,,,529.0,1930.0,,,,2016-06-04 01:50:12-05:00,2016-06-04 01:47:39-05:00,2016-06-04 01:52:00-05:00,2016-06-04 01:51:49-05:00,443.0,38.676,-121.039,5.0,5.0,0,,b'REGULAR',,0.0,-121.038,38.679,0,,,2016-06-04 01:50:02-05:00,1.5,5.0,1.5,0.25,0.41,,,,,,-121.039,-121.039,,2016-06-04 06:47:39,b'DISPATCHED',0,0,b'Gray',b'Bentley',b'Continental GT',b'2013',1,5.0
10.0,23.0333333333,88.0,5.0,350.0,,,,,,529.0,1930.0,,,,2016-06-04 03:16:02-05:00,2016-06-04 03:13:07-05:00,2016-06-04 03:18:07-05:00,2016-06-04 03:17:57-05:00,568.0,38.676,-121.039,3.0,5.0,1,,b'REGULAR',,0.0,-121.042,38.678,0,,,2016-06-04 03:16:01-05:00,1.5,5.0,1.5,0.25,0.48,,,,,,-121.039,-121.039,,2016-06-04 08:13:07,b'DISPATCHED',0,0,b'Gray',b'Bentley',b'Continental GT',b'2013',1,5.0
10.0,26.7,64.0,11.0,360.0,0.0,,,,,529.0,1930.0,,,,2016-06-04 10:05:13-05:00,2016-06-04 09:52:35-05:00,2016-06-04 10:14:00-05:00,2016-06-04 10:13:38-05:00,4051.0,30.271,-97.742,5.0,5.0,2,,b'REGULAR',,0.0,-97.764,30.247,1,,,2016-06-04 10:01:19-05:00,1.5,8.93,1.5,0.25,2.11,,,,,,-97.742,-97.742,,2016-06-04 14:52:35,b'DISPATCHED',1,1,b'Black',b'Cadillac',b'XTS',b'2013',21,5.0
10.0,26.7,64.0,11.0,360.0,0.0,,,,,529.0,1930.0,,,,2016-06-04 10:24:25-05:00,2016-06-04 10:23:25-05:00,2016-06-04 10:26:16-05:00,2016-06-04 10:26:07-05:00,790.0,30.269,-97.752,5.0,5.0,2,,b'REGULAR',,0.0,-97.75,30.269,2,,,2016-06-04 10:24:15-05:00,1.5,5.0,1.5,0.25,0.43,,,,,,-97.752,-97.752,,2016-06-04 15:23:25,b'DISPATCHED',1,1,b'Black',b'Cadillac',b'XTS',b'2013',21,5.0
10.0,21.1,87.0,5.0,340.0,0.0,,,,,529.0,1931.0,,,,2016-06-04 22:40:36-05:00,2016-06-04 22:32:42-05:00,2016-06-05 01:47:44-05:00,2016-06-04 22:50:57-05:00,2171.0,30.27,-97.749,0.5,5.0,3,,b'REGULAR',,0.0,-97.749,30.258,3,,,2016-06-04 22:40:33-05:00,1.5,7.65,1.5,0.25,2.59,,,,,,-97.749,-97.749,,2016-06-05 03:32:42,b'DECLINED',2,2,b'Black',b'Cadillac',b'XTS',b'2013',21,5.0
10.0,20.0,90.0,5.0,,0.0,,,,,529.0,1931.0,,,,2016-06-04 23:17:40-05:00,2016-06-04 23:06:20-05:00,2016-06-04 23:33:23-05:00,2016-06-04 23:33:20-05:00,10260.0,30.267,-97.745,,5.0,4,,b'REGULAR',,0.0,-97.771,30.203,4,,,2016-06-04 23:17:39-05:00,1.5,45.43,1.5,0.25,3.92,,,,,,-97.745,-97.745,,2016-06-05 04:06:21,b'DISPATCHED',3,3,b'Black',b'Infiniti',b'QX60',b'2015',7,5.0
10.0,21.7,84.0,6.0,360.0,0.0,,,,,529.0,1931.0,,,,2016-06-05 01:57:45-05:00,2016-06-05 01:54:08-05:00,2016-06-05 19:02:48-05:00,2016-06-05 02:12:48-05:00,5294.0,30.242,-97.781,3.0,5.0,5,,b'REGULAR',,0.0,-97.75,30.27,3,,,2016-06-05 01:55:32-05:00,1.5,13.25,1.5,0.25,3.76,,,,,,-97.781,-97.781,,2016-06-05 06:54:08,b'DISPATCHED',4,4,b'Black',b'Cadillac',b'SRX',b'2012',5,4.61
10.0,23.3,79.0,7.0,360.0,0.0,,,,,529.0,1931.0,,,,2016-06-05 02:26:06-05:00,2016-06-05 02:14:53-05:00,2016-06-05 02:40:51-05:00,2016-06-05 02:36:36-05:00,9768.0,30.203,-97.771,4.5,5.0,6,,b'REGULAR',,0.0,-97.745,30.267,4,,,2016-06-05 02:24:00-05:00,1.5,27.49,1.5,0.25,2.63,,,,,,-97.771,-97.771,,2016-06-05 07:14:53,b'DECLINED',5,5,b'Silver',b'Toyota',b'Highlander Hybrid',b'2008',7,4.93
10.0,25.0,47.0,3.0,10.0,0.0,,,,,529.0,1931.0,,,,2016-06-05 15:47:27-05:00,2016-06-05 15:27:40-05:00,2016-06-05 17:07:35-05:00,2016-06-05 15:59:37-05:00,12169.0,30.203,-97.666,5.0,5.0,7,,b'REGULAR',,0.0,-97.752,30.24,5,,,2016-06-05 15:47:25-05:00,1.5,17.38,1.5,0.25,3.04,,,,,,-97.666,-97.666,,2016-06-05 20:27:40,b'DECLINED',6,6,b'White',b'Nissan',b'Murano',b'2015',5,4.79
