HOURLYVISIBILITY,HOURLYDRYBULBTEMPC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYPrecip,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYSunrise,DAILYSunset,DAILYPrecip,DAILYAverageWindSpeed,DAILYPeakWindSpeed,started_on,created_date,updated_date,completed_on,distance_travelled,end_location_lat,end_location_long,driver_rating,rider_rating,active_driver_id,charity_id,requested_car_category,free_credit_used,surge_factor,start_location_long,start_location_lat,rider_id,round_up_amount,promocode_redemption_id,driver_reached_on,base_fare,total_fare,rate_per_mile,rate_per_minute,time_fare,driver_accepted_on,esimtated_time_arrive,tipped_on,tip,driving_time_to_rider,dispatch_location_lat,dispatch_location_long,driving_distance_to_rider,dispatched_on,status,driver_id,car_id,color,make,model,year,car_categories_bitmask,rating
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:16:00-06:00,2017-01-15 14:10:27-06:00,2017-01-16 08:44:20-06:00,2017-01-15 14:24:03-06:00,2228.0,30.222,-97.743,5.0,5.0,328267,,b'REGULAR',6.33,1.0,-97.733,30.229,159367,0.0,,2017-01-15 14:15:49-06:00,1.5,6.45,0.99,0.25,2.02,2017-01-15 08:10:29-06:00,1969-12-31 18:00:00.000000452-06:00,,,452.0,-97.743,-97.743,2385.0,2017-01-15 20:10:27,b'DISPATCHED',1398,1398,b'Black',b'Toyota',b'4Runner',b'2005',1,4.95
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:16:00-06:00,2017-01-15 14:13:03-06:00,2017-01-15 17:12:13-06:00,2017-01-15 14:22:37-06:00,1872.0,30.254,-97.737,5.0,5.0,328458,,b'REGULAR',,1.0,-97.744,30.265,160897,0.0,,2017-01-15 14:15:41-06:00,1.5,5.87,0.99,0.25,1.66,2017-01-15 08:13:06-06:00,1969-12-31 18:00:00.000000160-06:00,,,160.0,-97.737,-97.737,403.0,2017-01-15 20:13:03,b'DISPATCHED',3075,3075,b'Blue',b'Honda',b'HR-V',b'2016',1,4.82
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:16:00-06:00,2017-01-15 14:09:10-06:00,2017-01-15 19:01:56-06:00,2017-01-15 14:26:18-06:00,4789.0,30.27,-97.75,5.0,5.0,328099,,b'REGULAR',,1.0,-97.78,30.245,99825,0.0,,2017-01-15 14:12:47-06:00,1.5,8.62,0.99,0.25,2.58,2017-01-15 08:09:14-06:00,1969-12-31 18:00:00.000000216-06:00,,,216.0,-97.75,-97.75,1491.0,2017-01-15 20:09:10,b'DISPATCHED',1636,1636,b'Brown',b'Buick',b'Enclave',b'2010',3,4.96
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:16:08-06:00,2017-01-15 14:09:54-06:00,2017-01-16 09:24:27-06:00,2017-01-15 14:35:20-06:00,15324.0,30.236,-97.776,5.0,5.0,328508,,b'REGULAR',,1.0,-97.736,30.295,32441,0.0,,2017-01-15 14:12:22-06:00,1.5,17.4,0.99,0.25,4.8,2017-01-15 08:09:57-06:00,1969-12-31 18:00:00.000000288-06:00,,,288.0,-97.776,-97.776,1113.0,2017-01-15 20:09:54,b'DISPATCHED',67,67,b'Grey',b'Mazda',b'CX5',b'2015',1,4.88
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:16:19-06:00,2017-01-15 14:13:30-06:00,2017-01-15 16:29:55-06:00,2017-01-15 14:25:31-06:00,3296.0,30.264,-97.757,5.0,5.0,328509,43.0,b'REGULAR',8.0,1.0,-97.739,30.26,159543,0.6,,2017-01-15 14:16:03-06:00,1.5,8.0,0.99,0.25,2.3,2017-01-15 08:13:35-06:00,1969-12-31 18:00:00.000000239-06:00,,,239.0,-97.757,-97.757,617.0,2017-01-15 20:13:30,b'DISPATCHED',3319,3319,b'Gray',b'Toyota',b'Venza',b'2011',1,4.94
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:16:23-06:00,2017-01-15 14:11:49-06:00,2017-01-15 15:19:26-06:00,2017-01-15 14:29:51-06:00,4703.0,30.27,-97.747,5.0,5.0,328510,29.0,b'REGULAR',,1.0,-97.727,30.262,73152,0.65,,2017-01-15 14:16:16-06:00,1.5,10.0,0.99,0.25,3.37,2017-01-15 08:11:54-06:00,1969-12-31 18:00:00.000000218-06:00,2017-01-15 21:19:24,3.0,218.0,-97.747,-97.747,903.0,2017-01-15 20:11:50,b'DISPATCHED',98,98,b'White',b'Mitsubishi',b'Lancer',b'2015',1,4.65
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:16:28-06:00,2017-01-15 14:04:38-06:00,2017-02-04 20:45:31-06:00,2017-01-15 14:16:31-06:00,2290.0,30.435,-97.675,5.0,5.0,328511,25.0,b'REGULAR',,1.0,-97.674,30.456,160898,0.44,,2017-01-15 14:10:31-06:00,1.5,6.0,0.99,0.25,0.02,2017-01-15 08:04:44-06:00,1969-12-31 18:00:00.000000121-06:00,,,121.0,-97.675,-97.675,810.0,2017-01-15 20:04:38,b'DISPATCHED',2244,2244,b'White',b'Volkswagen',b'Jetta',b'2011',1,4.77
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:16:30-06:00,2017-01-15 14:07:42-06:00,2017-01-15 23:22:45-06:00,2017-01-15 14:38:03-06:00,20484.0,30.258,-97.739,5.0,5.0,328404,,b'REGULAR',,1.0,-97.716,30.411,126908,0.0,,2017-01-15 14:16:27-06:00,1.5,21.2,0.99,0.25,5.39,2017-01-15 08:07:51-06:00,1969-12-31 18:00:00.000000366-06:00,,,324.0,-97.739,-97.739,1892.0,2017-01-15 20:07:42,b'DECLINED',1452,1452,b'Gray',b'Hyundai',b'Sonata',b'2012',1,4.93
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:16:35-06:00,2017-01-15 14:12:16-06:00,2017-01-15 19:54:22-06:00,2017-01-15 14:22:28-06:00,6735.0,30.281,-97.768,5.0,5.0,328512,,b'REGULAR',,1.0,-97.758,30.335,127395,0.0,,2017-01-15 14:16:21-06:00,1.5,8.7,0.99,0.25,1.47,2017-01-15 08:12:24-06:00,1969-12-31 18:00:00.000000328-06:00,,,328.0,-97.768,-97.768,2057.0,2017-01-15 20:12:17,b'DISPATCHED',1226,1226,b'Blue',b'Hyundai',b'Sonata',b'2013',1,4.79
10.0,20.0,87.0,11.0,160.0,0.0,,,,,728.0,1754.0,,,,2017-01-15 14:16:44-06:00,2017-01-15 14:08:23-06:00,2017-01-15 21:40:20-06:00,2017-01-15 14:38:05-06:00,23096.0,30.258,-97.739,5.0,5.0,328513,,b'REGULAR',,1.0,-97.861,30.171,140694,0.0,,2017-01-15 14:15:51-06:00,1.5,22.78,0.99,0.25,5.34,2017-01-15 08:08:34-06:00,1969-12-31 18:00:00.000000473-06:00,,,473.0,-97.739,-97.739,3334.0,2017-01-15 20:08:23,b'DISPATCHED',740,740,b'Black',b'Hyundai',b'Elantra',b'2007',1,4.76
